id;sku;lot;name;auction_url;auction_end;current_auction_eur;auction_fee_rate_percent;auction_fees_eur;vat_status;vat_rate_percent;vat_eur;purchase_total_eur;photo_count;photos_reviewed;photos_reviewed_on;market_checked_on;quick_sale_lot_eur;normal_resale_gross_eur;recommended_max_bid_eur;recommended_max_bid_fees_eur;recommended_max_bid_vat_eur;recommended_max_purchase_total_eur;quick_margin_at_recommended_max_bid_eur;quick_margin_before_other_costs_eur;normal_margin_before_other_costs_eur;confidence_percent;demand;estimated_sale_days_min;estimated_sale_days_max;valuation_method;main_risks;device_checks;source_ids;source_titles;source_urls
302468;260633BR302468;271;Lot de 19 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde19pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1150.0;11.0;126.5;non_mentionnee;;0.0;1276.5;1;True;2026-09-12;2026-09-12;1520;2755;930;102.3;0.0;1032.3;487.7;243.5;1478.5;72;moyenne;14;75;"80 EUR/unité en sortie de lot sans chargeur; 145 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302466;260633BR302466;272;Lot de 30 ordinateurs portable DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde30pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1600.0;11.0;176.0;non_mentionnee;;0.0;1776.0;2;True;2026-09-12;2026-09-12;2400;4350;1470;161.7;0.0;1631.7;768.3;624.0;2574.0;72;moyenne;14;75;"80 EUR/unité en sortie de lot sans chargeur; 145 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302464;260633BR302464;273;Lot de 20 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde20pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1200.0;11.0;132.0;non_mentionnee;;0.0;1332.0;2;True;2026-09-12;2026-09-12;1600;2900;980;107.8;0.0;1087.8;512.2;268.0;1568.0;72;moyenne;14;75;"80 EUR/unité en sortie de lot sans chargeur; 145 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302462;260633BR302462;274;Lot de 11 ordinateurs portables  DELL avec station d'accueil;https://encheres-domaine.gouv.fr/lot/lotde11pcportabledell-8stationd-accueil-1.html;2026-09-17T08:00:00+00:00;300.0;11.0;33.0;non_mentionnee;;0.0;333.0;1;True;2026-09-12;2026-09-12;1600;2350;985;108.35;0.0;1093.35;506.65;1267.0;2017.0;74;moyenne;14;60;"Mélange de 11 Latitude à 130-210 EUR testés, plus 8 docks; décote de lot.";Répartition exacte 7400/7490/7480/E7470 et état batteries inconnus.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302459;260633BR302459;275;Lot de switch ARUBA et HP;https://encheres-domaine.gouv.fr/lot/lotde19switch-arubaethp-1.html;2026-09-17T08:00:00+00:00;100.0;11.0;11.0;non_mentionnee;;0.0;111.0;11;True;2026-09-12;2026-09-12;1000;1800;585;64.35;0.0;649.35;350.65;889.0;1689.0;61;faible;30;150;Somme des valeurs par modèle avec forte décote de gros et d'obsolescence.;"Références PoE/non-PoE ambiguës; matériel non présenté comme testé; acheteurs spécialisés.";[];lbc_aruba;"[""Matériel Aruba d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/accessoires_informatique/aruba/p-3
302453;260633BR302453;276;Lot de 27 bornes Wifi ARUBA;https://encheres-domaine.gouv.fr/lot/lotde27borneswifiaruba-1.html;2026-09-17T08:00:00+00:00;80.0;11.0;8.8;non_mentionnee;;0.0;88.8;1;True;2026-09-12;2026-09-12;120;300;65;7.15;0.0;72.15;47.85;31.2;211.2;58;faible;45;180;Anciennes bornes 802.11n valorisées 4-11 EUR/unité selon vente en bloc ou détail.;AP-105 obsolètes, alimentations absentes, configuration entreprise potentiellement bloquante.;[];lbc_aruba;"[""Matériel Aruba d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/accessoires_informatique/aruba/p-3
302452;260633BR302452;277;Lot de 10 ordinateurs portables TOSHIBA;https://encheres-domaine.gouv.fr/lot/lotde10pcportabletoshiba-1-doo-1.html;2026-09-17T08:00:00+00:00;200.0;11.0;22.0;non_mentionnee;;0.0;222.0;5;True;2026-09-12;2026-09-12;500;800;295;32.45;0.0;327.45;172.55;278.0;578.0;66;faible;30;120;"50 EUR/unité en lot; 70-90 EUR/unité testée avec chargeur.";"Machines anciennes à disque dur mécanique; batteries et RAM non précisées.";[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302451;260633BR302451;278;Lot de 14 ordinaterus portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde14pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;350.0;11.0;38.5;non_mentionnee;;0.0;388.5;4;True;2026-09-12;2026-09-12;630;1050;375;41.25;0.0;416.25;213.75;241.5;661.5;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302450;260633BR302450;279;Lot de 13 ordinateurs portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde13pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;320.0;11.0;35.2;non_mentionnee;;0.0;355.2;3;True;2026-09-12;2026-09-12;585;975;350;38.5;0.0;388.5;196.5;229.8;619.8;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302449;260633BR302449;280;Lot de 10 ordinateurs portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde10pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;250.0;11.0;27.5;non_mentionnee;;0.0;277.5;2;True;2026-09-12;2026-09-12;450;750;270;29.7;0.0;299.7;150.3;172.5;472.5;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
